dateRep,year,day,month,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
19/11/2020,2020,19,11,2049,96,Tunisia,TN,TUN,11694721,Africa,165.9637712
18/11/2020,2020,18,11,720,56,Tunisia,TN,TUN,11694721,Africa,159.0204674
17/11/2020,2020,17,11,599,44,Tunisia,TN,TUN,11694721,Africa,163.2959008
16/11/2020,2020,16,11,1065,66,Tunisia,TN,TUN,11694721,Africa,158.1739316
15/11/2020,2020,15,11,1671,70,Tunisia,TN,TUN,11694721,Africa,155.8309942
14/11/2020,2020,14,11,1562,58,Tunisia,TN,TUN,11694721,Africa,152.6757244
13/11/2020,2020,13,11,1584,49,Tunisia,TN,TUN,11694721,Africa,154.5740168
12/11/2020,2020,12,11,1529,96,Tunisia,TN,TUN,11694721,Africa,173.1037448
11/11/2020,2020,11,11,1424,86,Tunisia,TN,TUN,11694721,Africa,176.0965482
10/11/2020,2020,10,11,450,47,Tunisia,TN,TUN,11694721,Africa,163.920114
9/11/2020,2020,9,11,1576,79,Tunisia,TN,TUN,11694721,Africa,190.8553441
8/11/2020,2020,8,11,3209,217,Tunisia,TN,TUN,11694721,Africa,177.3791782
7/11/2020,2020,7,11,0,0,Tunisia,TN,TUN,11694721,Africa,163.4925707
6/11/2020,2020,6,11,1971,65,Tunisia,TN,TUN,11694721,Africa,174.7968164
5/11/2020,2020,5,11,1237,29,Tunisia,TN,TUN,11694721,Africa,157.9430582
4/11/2020,2020,4,11,1220,102,Tunisia,TN,TUN,11694721,Africa,159.6959859
3/11/2020,2020,3,11,0,0,Tunisia,TN,TUN,11694721,Africa,163.9970718
2/11/2020,2020,2,11,791,33,Tunisia,TN,TUN,11694721,Africa,182.6807155
1/11/2020,2020,1,11,1302,31,Tunisia,TN,TUN,11694721,Africa,175.91698
31/10/2020,2020,31,10,1784,64,Tunisia,TN,TUN,11694721,Africa,213.9683367
30/10/2020,2020,30,10,3751,100,Tunisia,TN,TUN,11694721,Africa,198.7135905
29/10/2020,2020,29,10,1879,170,Tunisia,TN,TUN,11694721,Africa,166.6392896
28/10/2020,2020,28,10,0,0,Tunisia,TN,TUN,11694721,Africa,169.6748473
27/10/2020,2020,27,10,3600,164,Tunisia,TN,TUN,11694721,Africa,169.6748473
26/10/2020,2020,26,10,0,0,Tunisia,TN,TUN,11694721,Africa,149.9822014
25/10/2020,2020,25,10,1585,35,Tunisia,TN,TUN,11694721,Africa,149.9822014
24/10/2020,2020,24,10,1322,44,Tunisia,TN,TUN,11694721,Africa,163.2531464
23/10/2020,2020,23,10,0,0,Tunisia,TN,TUN,11694721,Africa,172.1032934
22/10/2020,2020,22,10,1442,29,Tunisia,TN,TUN,11694721,Africa,172.1032934
21/10/2020,2020,21,10,1723,24,Tunisia,TN,TUN,11694721,Africa,179.5425475
20/10/2020,2020,20,10,2185,61,Tunisia,TN,TUN,11694721,Africa,164.8094042
19/10/2020,2020,19,10,0,0,Tunisia,TN,TUN,11694721,Africa,146.1257605
18/10/2020,2020,18,10,5752,114,Tunisia,TN,TUN,11694721,Africa,167.579885
17/10/2020,2020,17,10,0,0,Tunisia,TN,TUN,11694721,Africa,128.8530098
16/10/2020,2020,16,10,0,0,Tunisia,TN,TUN,11694721,Africa,140.0375434
15/10/2020,2020,15,10,2234,34,Tunisia,TN,TUN,11694721,Africa,140.0375434
14/10/2020,2020,14,10,0,0,Tunisia,TN,TUN,11694721,Africa,129.5541809
13/10/2020,2020,13,10,1297,22,Tunisia,TN,TUN,11694721,Africa,140.5933498
12/10/2020,2020,12,10,0,0,Tunisia,TN,TUN,11694721,Africa,129.5028757
11/10/2020,2020,11,10,3137,47,Tunisia,TN,TUN,11694721,Africa,137.5064869
10/10/2020,2020,10,10,2357,45,Tunisia,TN,TUN,11694721,Africa,117.4033994
9/10/2020,2020,9,10,0,0,Tunisia,TN,TUN,11694721,Africa,106.5437987
8/10/2020,2020,8,10,2312,43,Tunisia,TN,TUN,11694721,Africa,113.6068146
7/10/2020,2020,7,10,0,0,Tunisia,TN,TUN,11694721,Africa,104.2607173
6/10/2020,2020,6,10,0,0,Tunisia,TN,TUN,11694721,Africa,104.2607173
5/10/2020,2020,5,10,2509,45,Tunisia,TN,TUN,11694721,Africa,108.7755749
4/10/2020,2020,4,10,1223,5,Tunisia,TN,TUN,11694721,Africa,95.83811362
3/10/2020,2020,3,10,1308,6,Tunisia,TN,TUN,11694721,Africa,95.35071422
2/10/2020,2020,2,10,0,0,Tunisia,TN,TUN,11694721,Africa,84.16618062
1/10/2020,2020,1,10,1008,19,Tunisia,TN,TUN,11694721,Africa,88.18508796
30/09/2020,2020,30,9,1291,32,Tunisia,TN,TUN,11694721,Africa,83.64457775
29/09/2020,2020,29,9,0,0,Tunisia,TN,TUN,11694721,Africa,74.66616775
28/09/2020,2020,28,9,936,7,Tunisia,TN,TUN,11694721,Africa,81.05366515
27/09/2020,2020,27,9,786,16,Tunisia,TN,TUN,11694721,Africa,73.05005395
26/09/2020,2020,26,9,1087,11,Tunisia,TN,TUN,11694721,Africa,69.54419862
25/09/2020,2020,25,9,826,6,Tunisia,TN,TUN,11694721,Africa,63.47308328
24/09/2020,2020,24,9,1219,10,Tunisia,TN,TUN,11694721,Africa,60.38622042
23/09/2020,2020,23,9,0,0,Tunisia,TN,TUN,11694721,Africa,49.96271395
22/09/2020,2020,22,9,528,5,Tunisia,TN,TUN,11694721,Africa,52.46811788
21/09/2020,2020,21,9,996,4,Tunisia,TN,TUN,11694721,Africa,50.92896188
20/09/2020,2020,20,9,1166,22,Tunisia,TN,TUN,11694721,Africa,44.41320148
19/09/2020,2020,19,9,0,0,Tunisia,TN,TUN,11694721,Africa,35.70841921
18/09/2020,2020,18,9,470,4,Tunisia,TN,TUN,11694721,Africa,35.70841921
